url,type,is_submodule,submodule_path,researched,notes
https://github.com/gemini-cli-extensions/mysql,github_repo,yes,external/database/mysql,no,
https://github.com/gemini-cli-extensions/nanobanana,github_repo,yes,external/mcp-servers/nanobanana,no,
https://github.com/gemini-cli-extensions/postgres,github_repo,yes,external/database/postgres,no,
https://github.com/gemini-cli-extensions/vertex,github_repo,yes,external/mcp-servers/vertex,no,
https://github.com/gemini-cli-extensions/workspace,github_repo,yes,external/mcp-servers/workspace,no,
https://github.com/generalaction/emdash,github_repo,yes,external/clis/emdash,no,
https://github.com/generalagents/generalagents-python,github_repo,yes,external/computer-use/generalagents-python,no,
https://github.com/george5562/switchboard,github_repo,yes,external/mcp-tooling/Switchboard,no,
https://github.com/getzep/zep,github_repo,yes,external/memory/zep,no,
https://github.com/github/awesome-copilot,github_repo,yes,external/clis/awesome-copilot,no,
https://github.com/github/copilot-cli,github_repo,yes,external/clis/copilot-cli,no,
https://github.com/google/adk-js,github_repo,yes,external/mcp-servers/adk-js,no,
https://github.com/googlecloudplatform/cloud-run-mcp,github_repo,yes,external/mcp-servers/cloud-run-mcp,no,
https://github.com/googlecloudplatform/vertex-ai-creative-studio,github_repo,yes,external/mcp-servers/vertex-ai-creative-studio,no,
https://github.com/grapeot/devin.cursorrules,github_repo,yes,agents/refs/agents/devin.cursorrules,no,
https://github.com/greatscottymac/context-portal,github_repo,yes,external/memory/context-portal,no,
https://github.com/gvaibhav/tam-mcp-server,github_repo,yes,external/financial/TAM-MCP-Server,no,
https://github.com/hangwin/mcp-chrome,github_repo,yes,external/mcp-servers/mcp-chrome,no,
https://github.com/hetpatel-11/advanced-tools,github_repo,yes,external/unsorted/advanced-tools,no,
https://github.com/hive-intel/hive-crypto-mcp,github_repo,yes,external/financial/hive-crypto-mcp,no,
https://github.com/hk-gosuto/vercel-ai-proxy,github_repo,yes,external/clis/vercel-ai-proxy,no,
https://github.com/huggingface/smolagents,github_repo,yes,external/mcp-tooling/smolagents,no,
https://github.com/hyperbrowserai/mcp,github_repo,yes,external/mcp-servers/mcp,no,
https://github.com/instavm/clickclickclick,github_repo,yes,external/computer-use/clickclickclick,no,
https://github.com/instavm/open-skills,github_repo,yes,external/unsorted/open-skills,no,
https://github.com/jakops88-hub/long-term-memory-api,github_repo,yes,external/memory/Long-Term-Memory-API,no,
https://github.com/jakops88-hub/memvault-sync,github_repo,yes,external/memory/memvault-sync,no,
https://github.com/jasonzhangf/gemini-cli-router,github_repo,yes,external/clis/gemini-cli-router,no,
https://github.com/jayasuryajsk/codex-kaioken,github_repo,yes,external/unsorted/codex-kaioken,no,
https://github.com/jdorfman/awesome-amp-code,github_repo,yes,external/clis/awesome-amp-code,no,
https://github.com/jean-technologies/jean-memory,github_repo,yes,external/memory/jean-memory,no,
https://github.com/just-every/code,github_repo,yes,external/clis/code,no,
https://github.com/jx-codes/lootbox,github_repo,yes,external/mcp-tooling/lootbox,no,
https://github.com/kaitranntt/ccs,github_repo,yes,external/clis/ccs,no,
https://github.com/kenryu42/claude-code-safety-net,github_repo,yes,tools/security/claude-code-safety-net,no,
https://github.com/kraftyux/memai,github_repo,yes,external/memory/memai,no,
https://github.com/kspviswa/pktai,github_repo,yes,external/unsorted/pktai,no,
https://github.com/kukapay/crypto-feargreed-mcp,github_repo,yes,external/financial/crypto-feargreed-mcp,no,
https://github.com/kukapay/crypto-indicators-mcp,github_repo,yes,external/financial/crypto-indicators-mcp,no,
https://github.com/kukapay/crypto-sentiment-mcp,github_repo,yes,external/financial/crypto-sentiment-mcp,no,
https://github.com/kukapay/cryptopanic-mcp-server,github_repo,yes,external/financial/cryptopanic-mcp-server,no,
